Date,Open,High,Low,Close,Adj Close,Volume
2017-09-19,502.299988,508.700012,497.850006,506.250000,481.697784,275379
2017-09-20,510.000000,534.200012,507.049988,532.450012,506.627106,853040
2017-09-21,537.000000,541.200012,521.000000,538.750000,512.621643,562497
2017-09-22,538.750000,544.000000,510.049988,519.400024,494.210083,549192
2017-09-25,521.000000,522.950012,498.049988,505.049988,480.556000,297297
2017-09-26,502.100006,530.000000,500.100006,514.250000,489.309753,333505
2017-09-27,515.150024,540.700012,515.150024,524.400024,498.967560,941728
2017-09-28,524.000000,568.150024,519.049988,547.849976,521.280273,1191922
2017-09-29,547.849976,554.700012,537.000000,542.549988,516.237305,363013
2017-10-03,542.500000,560.000000,539.450012,549.900024,523.230896,451197
2017-10-04,550.000000,558.049988,542.049988,547.200012,520.661743,238709
2017-10-05,551.150024,567.000000,544.500000,562.150024,534.886780,363851
2017-10-06,561.650024,569.000000,558.950012,565.599976,538.169434,207705
2017-10-09,563.000000,572.000000,560.000000,568.349976,540.786072,128825
2017-10-10,564.099976,607.250000,561.349976,604.450012,575.135315,823642
2017-10-11,604.099976,618.150024,588.549988,593.700012,564.906616,975374
2017-10-12,597.400024,623.000000,593.700012,612.750000,583.032715,1064146
2017-10-13,613.000000,630.799988,613.000000,623.450012,593.213806,1685310
2017-10-16,626.000000,631.849976,619.200012,625.799988,595.449768,613894
2017-10-17,626.599976,643.200012,623.150024,633.549988,602.824036,618425
2017-10-18,637.099976,646.299988,608.750000,613.599976,583.841492,2324491
2017-10-19,616.549988,619.900024,610.000000,611.849976,582.176392,106899
2017-10-23,612.849976,622.000000,608.150024,612.349976,582.652222,489875
2017-10-24,618.000000,620.000000,603.099976,608.299988,578.798462,282450
2017-10-25,608.299988,622.000000,608.299988,612.799988,583.080322,441126
2017-10-26,613.000000,618.099976,605.099976,609.099976,579.559753,489910
2017-10-27,614.000000,647.450012,605.200012,641.200012,610.103027,706079
2017-10-30,645.000000,652.700012,637.700012,642.299988,611.149658,277061
2017-10-31,640.000000,696.900024,640.000000,676.950012,644.119324,1869013
2017-11-01,661.000000,675.849976,652.150024,654.099976,622.377258,517691
2017-11-02,660.000000,666.000000,635.000000,642.750000,611.577759,515707
2017-11-03,648.000000,657.950012,644.000000,648.849976,617.381958,241138
2017-11-06,649.900024,662.500000,632.000000,635.900024,605.059998,251796
2017-11-07,640.000000,655.450012,627.200012,639.250000,608.247437,451524
2017-11-08,634.000000,660.400024,632.599976,642.599976,611.435059,358243
2017-11-09,646.299988,679.900024,645.299988,660.049988,628.038696,1106089
2017-11-10,660.900024,660.900024,621.250000,625.200012,594.878906,373754
2017-11-13,630.700012,637.900024,625.500000,635.200012,604.393982,240138
2017-11-14,645.000000,657.000000,639.950012,650.549988,618.999512,757574
2017-11-15,653.950012,653.950012,619.599976,631.500000,600.873413,314568
2017-11-16,635.000000,643.049988,633.000000,637.700012,606.772705,224066
2017-11-17,647.000000,647.000000,637.750000,642.200012,611.054382,331845
2017-11-20,644.000000,649.400024,638.650024,641.900024,610.769043,178029
2017-11-21,644.549988,644.900024,631.000000,637.150024,606.249268,162814
2017-11-22,639.049988,648.299988,629.099976,639.799988,608.770874,261980
2017-11-23,645.099976,662.950012,641.000000,656.049988,624.232727,471020
2017-11-24,663.000000,668.000000,654.000000,658.950012,626.992126,355474
2017-11-27,663.900024,663.900024,635.000000,640.049988,609.008728,421324
2017-11-28,640.000000,648.250000,632.950012,639.049988,608.057190,318763
2017-11-29,645.950012,645.950012,630.349976,632.599976,601.919983,195735
2017-11-30,640.000000,644.799988,632.099976,639.000000,608.009644,655715
2017-12-01,637.799988,647.349976,627.150024,631.349976,600.730530,213895
2017-12-04,630.000000,643.799988,608.549988,623.700012,593.451660,338335
2017-12-05,623.700012,642.849976,617.500000,638.349976,607.391174,233583
2017-12-06,637.500000,650.849976,631.200012,634.349976,603.585083,508579
2017-12-07,635.400024,639.099976,621.349976,628.400024,597.923706,299403
2017-12-08,634.000000,639.450012,626.349976,630.500000,599.921875,186091
2017-12-11,627.200012,645.000000,627.200012,642.700012,611.530090,215827
2017-12-12,645.000000,652.000000,628.000000,631.099976,600.492798,481636
2017-12-13,637.000000,637.500000,610.049988,613.250000,583.508484,311832
2017-12-14,620.799988,624.250000,608.549988,618.099976,588.123291,423302
2017-12-15,621.000000,627.650024,611.750000,613.900024,584.127014,161072
2017-12-18,615.000000,621.849976,603.650024,617.299988,587.362122,266562
2017-12-19,615.200012,630.000000,615.200012,622.299988,592.119568,428526
2017-12-20,625.000000,644.000000,623.349976,639.900024,608.865906,342907
2017-12-21,646.500000,652.900024,639.349976,650.250000,618.714050,316559
2017-12-22,645.250000,655.000000,640.549988,644.049988,612.814758,201042
2017-12-26,645.049988,648.200012,629.500000,635.700012,604.869751,208504
2017-12-27,634.750000,646.700012,634.299988,640.200012,609.151489,219847
2017-12-28,639.799988,661.000000,638.049988,649.549988,618.047974,539622
2017-12-29,649.900024,657.000000,641.549988,645.049988,613.766357,426993
2018-01-01,646.000000,663.000000,638.200012,653.799988,622.091858,213259
2018-01-02,662.700012,662.700012,637.799988,642.549988,611.387573,395374
2018-01-03,642.000000,658.349976,641.150024,645.950012,614.622620,310252
2018-01-04,649.700012,655.750000,642.549988,653.150024,621.473511,276774
2018-01-05,655.000000,672.000000,651.849976,669.500000,637.030396,424659
2018-01-08,674.000000,705.900024,672.049988,704.049988,669.904846,909477
