Open,High,Low,Adj Close,Volume,class
1513.5,1515.5,1473.724976,1356.25769,2180324,DOWN
1489.875,1513.800049,1479.5,1365.046631,2755004,UP
1475,1497,1448.324951,1363.899292,2102458,DOWN
1489.150024,1511.675049,1477.775024,1361.879883,1974562,DOWN
1485,1487.224976,1446.25,1336.407959,2847532,DOWN
1465.974976,1471.5,1452.550049,1342.855835,2465236,UP
1461.5,1499.800049,1461.5,1346.1604,2515756,UP
1472.5,1476.650024,1447.599976,1341.823364,1568224,DOWN
1464,1492.525024,1463.949951,1351.530396,1889068,UP
1487,1531.300049,1480.025024,1396.302124,3089228,UP
1526,1539.5,1511.25,1399.928101,3463010,UP
1525,1544.5,1496.050049,1411.677246,3362500,UP
1537.5,1544.974976,1510.599976,1391.43689,1363882,DOWN
1520.5,1539.275024,1516,1396.325195,1717800,UP
1517.5,1531.974976,1510.724976,1392.974609,2706864,DOWN
1524.5,1530.599976,1510,1394.190796,1718124,UP
1524.5,1556.824951,1516.474976,1425.469238,2858168,UP
1561,1563.5,1515.074951,1396.531616,1906764,DOWN
1535,1544.5,1509.25,1389.486328,1917772,DOWN
1527.449951,1527.449951,1493.75,1378.701172,1951826,DOWN
1502.5,1531.599976,1488.599976,1392.538696,1872436,UP
1521.5,1541.949951,1517.75,1400.822754,2091340,UP
1462.449951,1469.849976,1436,1324.933594,88067154,DOWN
1446.474976,1461.525024,1437.525024,1324.979492,3668668,UP
1447.5,1451.275024,1427.800049,1317.085205,2348906,DOWN
1434.400024,1436,1402.5,1296.890869,7197482,DOWN
1414.5,1424,1410,1299.323486,3489940,UP
1410,1436.599976,1409.5,1314.859131,4024984,UP
1436.25,1442.150024,1425,1311.141846,3907678,DOWN
1429.974976,1437.974976,1411.275024,1299.484009,2326094,DOWN
1401,1417.050049,1399.025024,1293.425781,3654122,DOWN
1409.5,1413.699951,1390.775024,1292.898071,2964210,DOWN
1412.5,1431.5,1411.525024,1306.987671,2494574,UP
1417.949951,1437.5,1412.5,1307.653442,6865654,UP
1420,1457,1420,1335.420532,1662988,UP
1446.050049,1464.949951,1446.050049,1336.154907,1937290,UP
1464.724976,1467,1446,1335.994507,2841820,DOWN
1463.275024,1481.875,1460.175049,1357.588623,1809424,UP
1477,1480,1463.275024,1354.077515,1129018,DOWN
1469.849976,1481.75,1457.5,1341.960815,1235866,DOWN
1462.849976,1478.625,1462.849976,1348.248779,1184532,UP
1475.300049,1512.5,1472.800049,1383.382324,3124416,UP
1505,1575,1503.974976,1440.798828,6114360,UP
1575,1620.400024,1566.050049,1447.246826,8179118,UP
1558,1599.974976,1555.375,1463.012451,6270274,UP
1593.824951,1597.474976,1573.599976,1453.351318,3301724,DOWN
1583,1596.724976,1572.925049,1449.909302,2433066,DOWN
1589.949951,1608.599976,1582.875,1464.61853,4820952,UP
1625,1711.175049,1620,1561.597534,18465662,UP
1712,1778.949951,1694.775024,1564.442871,15185910,UP
1705,1721.574951,1671.25,1553.887207,8314336,DOWN
1692.5,1741.5,1682.525024,1592.715088,8196574,UP
1733.5,1780,1733.5,1624.383789,12135034,UP
1762.5,1772,1710,1584.316162,4501330,DOWN
1725.974976,1774.5,1718.800049,1621.102173,3458558,UP
1765.25,1766.099976,1735.650024,1606.254517,3158046,DOWN
1754.900024,1763,1735.199951,1598.039429,3761550,DOWN
1746,1748.5,1735,1597.534424,2347244,DOWN
1745,1745,1705.449951,1570.088257,3484426,DOWN
1717.349976,1743.25,1698.349976,1579.382446,2992820,UP
1720.099976,1747.375,1720.099976,1601.458252,2615050,UP
1751.474976,1755.574951,1720.099976,1583.994995,3858678,DOWN
1727.099976,1742.5,1721.25,1586.611084,2627876,UP
1728.5,1735.5,1705.400024,1575.871094,2433894,DOWN
1725,1747.900024,1716.849976,1598.29126,1952890,UP
1739.974976,1754.5,1737.625,1603.56958,1648450,UP
1756.474976,1766.574951,1738,1602.605835,2968048,DOWN
1740.400024,1758.849976,1729,1607.310303,1874996,UP
1764.349976,1796,1759.025024,1632.415649,3446178,UP
1779,1787.474976,1746.849976,1610.453979,1857416,DOWN
1762.5,1772.5,1740.5,1604.120483,1507298,DOWN
1755,1807.5,1751.175049,1653.963501,2962316,UP
1812.5,1837.400024,1786.275024,1645.748413,3769772,DOWN
1808.25,1808.25,1743,1607.310303,3716798,DOWN
1764.949951,1772,1744,1617.155151,3525312,UP
1754.525024,1766.5,1741.25,1612.84082,3779106,DOWN
1734,1759.050049,1726.099976,1611.452393,5049371,DOWN
1754,1757.5,1716.300049,1603.492554,1603856,DOWN
1745,1749,1712.599976,1614.414063,1681483,UP
1744,1751.900024,1711.150024,1593.450195,2449568,DOWN
1723,1734.900024,1715.199951,1597.29126,2236512,UP
1725,1749,1723.800049,1606.362183,2414762,UP
1735,1757.300049,1735,1617.052124,2582138,UP
1747.099976,1763,1743,1619.458496,2179378,UP
1757,1785,1753,1648.428833,4608875,UP
1816,1831.650024,1798,1688.320435,5370983,UP
1830,1832.300049,1784,1654.491089,3819998,DOWN
1800,1847.099976,1788.599976,1703.083374,9183574,UP
1867.949951,1867.949951,1822.150024,1692.855591,4674987,DOWN
1822.150024,1839,1821,1688.690796,3245034,DOWN
1832,1836.300049,1818.599976,1686.793213,3107695,DOWN
1832,1832,1817.599976,1683.923828,2910659,DOWN
1827,1827,1799.550049,1675.084961,2949458,DOWN
1811.900024,1822.349976,1806,1683.831665,2083217,UP
1823,1861,1821,1714.143677,4679712,UP
1860,1885.150024,1851.25,1719.697021,4081208,UP
1865,1871,1826.300049,1705.535767,4888125,DOWN
1844.900024,1867.400024,1842.300049,1710.209839,3506276,UP
1852,1857.800049,1841.099976,1713.541992,2650290,UP
1859.949951,1879.900024,1857.050049,1734.55249,3242233,UP
1879.900024,1879.900024,1857.150024,1727.240479,2700614,DOWN
1873,1887.5,1862.099976,1740.33728,2472571,UP
1882.849976,1921,1881.650024,1770.556641,3713781,UP
1924,1924.400024,1876.5,1742.836182,6151747,DOWN
1898,1898.900024,1870.75,1735.524048,5303302,DOWN
1900,1998,1894.150024,1832.523438,22903802,UP
1984,1990.900024,1960.5,1824.609497,6921701,DOWN
1975,1997.900024,1974,1833.634277,4148185,UP
1990,1996,1977.449951,1841.130981,2582159,UP
1989,2009,1981,1856.850952,3315492,UP
2005,2011.699951,1993.050049,1855.088989,2013869,DOWN
2002.099976,2010.449951,1970,1837.606812,1746318,DOWN
1984.900024,2000,1984,1851.703857,1934995,UP
2001,2009.949951,1986,1860.097168,2086201,UP
2015,2015,1984.150024,1853.929443,2038423,DOWN
2001.900024,2002,1968.400024,1837.699707,1535492,DOWN
1974.949951,1985,1955.099976,1822.11853,3503036,DOWN
1960.849976,1964.650024,1940.300049,1802.689087,2033977,DOWN
1943,1954.699951,1931.550049,1803.477539,1579251,UP
1942,1947,1928,1799.396729,2204803,DOWN
1949.949951,1981.550049,1949.800049,1833.062378,2425180,UP
1980,1985,1945,1807.001587,1509287,DOWN
1956.5,1982.050049,1956.5,1835.79834,1505131,UP
1997,1998.949951,1972.25,1832.181519,1532249,DOWN
1978.199951,1979.150024,1960.5,1824.576416,1353521,DOWN
1972,1978.300049,1962,1830.743774,1315062,UP
1980,1980.800049,1966,1831.068237,2060297,UP
1980.949951,1996.5,1972.050049,1848.457397,2784105,UP
1997.800049,2004.25,1990,1854.99585,3559575,UP
1992,2024.599976,1982.400024,1858.149292,3311765,UP
2000.300049,2020.050049,1995,1862.73999,2152065,UP
2013.849976,2021.900024,2004,1866.681885,1213731,UP
2024,2024,2003.699951,1864.084595,1587032,DOWN
2010.150024,2024,2004,1871.226074,1376866,UP
2022.800049,2038,2020.300049,1887.409546,3046791,UP
2035.099976,2046,2031,1894.736328,1570533,UP
2043,2059,2035,1902.062866,1532702,UP
2055,2072,2052,1919.035034,1987983,UP
2072.5,2076.600098,2045.599976,1921.631958,1525867,UP
2068,2085,2065.5,1931.276733,2408020,UP
2082.300049,2092,2074,1927.567139,2504554,DOWN
2084.800049,2090,2048.399902,1903.917725,1439711,DOWN
2059.800049,2104.75,2056.949951,1946.579468,4420803,UP
2100,2107.25,2075.050049,1928.355713,1681106,DOWN
2075,2081.5,2060.300049,1924.692139,2238097,DOWN
2079.300049,2084,2065.399902,1928.912231,1312182,UP
2084.399902,2093.399902,2074.25,1929.746704,1530539,UP
2089,2089,2042.199951,1897.750488,3679745,DOWN
2052.350098,2068.899902,2040,1895.617188,2307661,DOWN
2044,2071.550049,2018.150024,1915.51062,3642038,UP
2070,2077.800049,2054.550049,1923.625488,1033857,UP
2073,2078.800049,2057.600098,1920.47229,1456507,DOWN
2071.899902,2089,2066.850098,1927.10376,1301268,UP
2077,2121,2050.149902,1950.521118,4508530,UP
2115,2210.5,2098.149902,2038.904907,3032226,UP
2204.899902,2211.899902,2153.800049,2024.76123,2868778,DOWN
2187,2199,2135.100098,1986.690552,1970951,DOWN
2141.899902,2209.699951,2135.800049,2030.002319,3311802,UP
2178,2190,2158.850098,2025.225586,2904371,DOWN
2190.899902,2275.949951,2190.350098,2091.861328,3772208,UP
2250.300049,2255,2155.600098,2005.888794,3902322,DOWN
2156.600098,2156.649902,2056.350098,1914.954224,4762419,DOWN
2050,2120,2020.900024,1950.057373,3417624,UP
2102.649902,2122.199951,2048.149902,1926.778931,2010154,DOWN
2080.350098,2107.649902,2053.199951,1939.994995,1867130,UP
2100,2105.949951,2029,1895.292725,2749573,DOWN
1985,2013,1941,1836.261963,4700256,DOWN
1978,1978,1903,1779.086182,9373289,DOWN
1940,1955.550049,1920,1808.021973,2638151,UP
1958,1971.900024,1935,1819.892822,2815425,UP
1970,1989,1920,1789.380371,2779207,DOWN
1929,1929,1870.050049,1774.356079,3428776,DOWN
1914,1916,1886.949951,1764.896484,1778496,DOWN
1888,1898,1837,1713.455078,2752811,DOWN
1852.050049,1874,1811.099976,1717.962524,2735913,UP
1844,1876.900024,1825.050049,1722.144775,2507233,UP
1853.900024,1853.900024,1791.099976,1672.050903,2285970,DOWN
1808.699951,1877.949951,1784.349976,1738.873657,2609483,UP
1867,1909.400024,1845,1760.992798,2404883,UP
1900,1943.900024,1875.449951,1801.281494,2769190,UP
1943.650024,1944.349976,1901.300049,1799.051147,2769759,DOWN
1934.199951,1954.599976,1905,1778.325806,1818635,DOWN
1910,1927.349976,1884.75,1757.321899,1713366,DOWN
1894,1937.5,1891,1796.216431,1398710,UP
1940,1949,1937,1804.999023,144530,UP
1961,1961.949951,1905,1774.375732,2570479,DOWN
1908.5,1946.099976,1908.5,1779.627075,2552008,UP
1915,1939,1903,1798.307373,1418432,UP
1925,1929.900024,1870,1747.842407,2422318,DOWN
1864,1899,1857.599976,1740.592773,1829123,DOWN
1889,1899.800049,1870.25,1753.371826,1829729,UP
1899,1907.349976,1864.300049,1768.102661,1740628,UP
1902,1902,1874.199951,1745.611694,1190182,DOWN
1871,1871.050049,1798.550049,1684.040039,3840461,DOWN
1820,1847.599976,1809.949951,1684.551514,3194219,UP
1819,1860,1784.5,1715.732056,4333177,UP
1854,1897.900024,1835.349976,1756.76416,3344839,UP
1889,1989,1882.5,1843.800903,5313249,UP
1997,1997,1942.550049,1822.099731,4035441,DOWN
1966,1991,1959.849976,1829.255859,5268901,UP
1984,1990,1968.300049,1842.406738,1610576,UP
1983,2019.400024,1971,1868.847534,3270615,UP
2006,2018,1985,1865.037109,2501539,DOWN
1998,2017,1979.599976,1851.97937,2321216,DOWN
1985.050049,2003.900024,1973,1854.302979,1680420,UP
1975,2011,1960,1836.272949,2010786,DOWN
1970,2010,1961,1858.763794,2942014,UP
2001.099976,2022,1984.949951,1874.377808,2219993,UP
2024,2029.699951,1974.5,1842.592773,3748429,DOWN
1983,1998.949951,1975.25,1849.237793,2473761,UP
1999,2004.900024,1985,1853.466553,1227921,UP
1991.900024,2002,1976.400024,1847.471924,1768742,DOWN
1984.800049,1984.800049,1960.050049,1829.442139,2498833,DOWN
1953.800049,1974.900024,1946,1816.058838,1940277,DOWN
1948,1950,1886.550049,1761.922363,3729956,DOWN
1905.800049,1938.900024,1905,1783.019531,1864116,UP
1921.800049,1921.800049,1870.25,1755.78833,2446614,DOWN
1909,1941.699951,1872.099976,1774.143555,4968201,UP
1915,1920,1893,1762.154785,2239130,DOWN
1908,1909,1886.150024,1759.366455,1879740,DOWN
1896,1910,1885,1768.427856,1094883,UP
1905,1934.449951,1900,1787.480347,2100463,UP
1919,1944.949951,1893.099976,1765.779053,2611668,DOWN
1900,1901.199951,1841,1744.310547,4280862,DOWN
1891.800049,1908.800049,1881,1763.874023,1856423,UP
1905.400024,1906.400024,1883.300049,1759.831299,1691756,DOWN
1907.400024,1919,1866.699951,1753.697266,2414376,DOWN
1890,1905,1872.099976,1755.184326,3053461,UP
1870,1875,1835,1712.432739,9209862,DOWN
1850,1851,1810,1685.201782,3615370,DOWN
1810,1869.349976,1808,1735.899536,7711653,UP
1870,1875,1847,1738.083496,2359280,UP
1878,1898,1871.300049,1764.30188,2625816,UP
1881,1904.199951,1876,1770.216064,1683728,UP
1902,1932,1895.449951,1777.713623,2409803,UP
1907.099976,1918.25,1890,1771.380493,2457093,DOWN
1901,1906.099976,1870,1746.885132,2578169,DOWN
1884.800049,1905.25,1875,1771.054199,1962927,UP
1902,1935,1901,1788.983398,2327080,UP
1933,1962,1925.5,1820.836182,2769033,UP
1962,1989.050049,1936.650024,1846.681885,2557626,UP
1979.599976,1989.5,1954.650024,1845.424438,2429575,DOWN
1987,2019.75,1985,1875.880371,4094319,UP
2009.5,2034.75,1998.099976,1890.642456,3064163,UP
2029.949951,2055.449951,2023,1909.549561,1590764,UP
2050,2055,2028,1904.240723,1111404,DOWN
2049.899902,2086.850098,2041.050049,1932.414917,1789812,UP
2074.75,2097.949951,2067,1939.958984,1339945,UP
2075,2089.5,2051,1919.934326,1684474,DOWN
2060,2096,2048.899902,1924.125488,1778730,UP
2070,2070,2018,1910.807007,2422903,DOWN
2060.050049,2075,2033.050049,1904.287476,1724085,DOWN
2049,2052,2010.949951,1890.40979,1930065,DOWN
2037.599976,2041.949951,1962.650024,1835.086182,2942184,DOWN
1970,1971,1892,1774.081177,4408554,DOWN
1915,1933.800049,1881.300049,1783.348511,4645778,UP
1914.75,1940,1897.050049,1782.835938,4683919,DOWN
1917.199951,1930,1905.099976,1793.500366,2271955,UP
1932.5,1990,1930.5,1848.916992,2934880,UP
1984,2045.150024,1972.25,1898.792236,6453309,UP
2040,2074.949951,2022,1916.860962,4732082,UP
2060,2071.350098,1977.599976,1847.333862,8454295,DOWN
1995.050049,2005,1980.349976,1858.463745,4148548,UP
2005,2007,1976.599976,1851.664673,2449622,DOWN
1989.300049,2015,1985.050049,1862.37561,2635047,UP
2005,2024.050049,2000.199951,1875.135498,2539884,UP
2025,2033,2010.050049,1883.890381,2031071,UP
2028.900024,2033,2003.650024,1876.532593,3111689,DOWN
2014.050049,2024.800049,2003,1874.34375,2658550,DOWN
2013,2015.900024,1978.599976,1863.213623,1833163,DOWN
2004.949951,2007.800049,1981,1851.012817,1905495,DOWN
1998.900024,2068.949951,1991,1899.956543,5184318,UP
2043,2064.600098,2011,1883.983521,2349915,DOWN
2030,2030,1995.099976,1883.983521,2373993,DOWN
2028,2044.800049,2000,1876.765503,3091165,DOWN
2015,2016,1983.300049,1868.010376,3148149,DOWN
2007.800049,2007.800049,1977.199951,1848.078857,2429205,DOWN
1984,1994.949951,1958.050049,1846.588745,2316539,DOWN
1994,1998,1961,1832.851318,2266166,DOWN
1980,2014.599976,1972.800049,1863.027466,4054489,UP
2010,2039.949951,2008.25,1892.226196,2095740,UP
2037.099976,2086,2037,1936.605957,3719663,UP
2085,2089.600098,2058.100098,1936.605957,2939886,DOWN
2078.149902,2079.699951,2007.400024,1876.25293,4397518,DOWN
2028.650024,2054.399902,2018.800049,1907.733398,3152103,UP
2059,2075,2032.699951,1928.6427,2194294,UP
2070,2098,2057.649902,1947.96875,2690970,UP
2083,2085.5,2036,1900.236084,3313062,DOWN
2045,2055,2013.650024,1880.90979,3422442,DOWN
2038,2039,2007,1876.25293,3198471,DOWN
2070,2119.800049,2041,1968.272583,9189201,UP
2120,2155.949951,2115.550049,1985.503052,5771952,UP
2149.899902,2155,2114.199951,2002.50061,3413728,UP
2148,2176,2145.600098,2013.118408,2007135,UP
2163,2165.5,2134.050049,2007.157471,2163524,DOWN
2158,2195,2156.100098,2033.608276,3003071,UP
2175,2205,2168.050049,2044.365356,4211526,UP
2203,2243.949951,2193.149902,2084.927979,2716958,UP
2238.550049,2266.949951,2230.100098,2105.231201,3488395,UP
2255,2259.399902,2211.100098,2063.366211,2457699,DOWN
2185,2186.050049,2125,1985.689331,3780886,DOWN
2110,2165,2108.5,2009.765869,2891422,UP
2160.050049,2184.350098,2138.800049,2004.270386,2201698,DOWN
2151,2168,2130.399902,2005.108765,1824895,UP
2145,2184.100098,2136.100098,2023.457275,2264162,UP
2175,2192,2125.850098,1989.228638,2039633,DOWN
2133,2167,2121.649902,1982.662598,1701744,DOWN
2135,2159.800049,2072.350098,1948.760376,2456110,DOWN
2097,2124,2084.5,1951.601074,2346876,UP
2096,2124,2077.050049,1964.03479,1946529,UP
2112.600098,2135,2090,1951.647705,1947908,DOWN
2125,2151.399902,2050,1996.819214,2625116,UP
2148.050049,2148.699951,2102.550049,1964.966553,1863157,DOWN
2110,2121.949951,2075,1938.887939,2595795,DOWN
2098,2115.350098,2050,1913.089111,2541294,DOWN
2070,2070,2032.25,1907.454102,2274208,DOWN
2054.800049,2068.949951,2040.099976,1914.113037,2329820,UP
2060,2097.5,2045,1931.437134,5872979,UP
2080,2123.699951,2077.100098,1962.917358,3281320,UP
2123,2156.550049,2114.399902,1999.008301,4971725,UP
2160,2204.949951,2152.25,2045.809204,4265370,UP
2201,2247.649902,2185.649902,2088.42041,3682419,UP
2224,2224,2175,2049.736816,2408658,DOWN
2199,2199,2152,2033.776001,3735467,DOWN
2174,2189.800049,2142.100098,2048.469482,2659446,UP
2196.699951,2235.850098,2185.5,2095.18042,2080593,UP
2237,2263.949951,2231,2115.178955,3048937,UP
2245,2266.899902,2219,2122.783936,2404448,UP
2264,2285,2243.050049,2116.399902,3320916,DOWN
2257.25,2263.100098,2234,2116.775391,2131408,UP
2256,2262,2241.449951,2111.798828,1489497,DOWN
2244,2260,2231.199951,2113.348389,1877447,UP
2255,2276,2243.149902,2121.845215,1652817,UP
2230,2284,2212,2138.792725,2199377,UP
2285,2292.5,2242,2112.408936,3871804,DOWN
2254.149902,2280,2250.800049,2136.492432,1382424,UP
2270,2274.449951,2250.5,2129.262695,1386077,DOWN
2265,2266.800049,2250,2116.493164,1762224,DOWN
2255,2264,2241.300049,2114.94458,2813464,DOWN
2260,2261.949951,2222.5,2091.142822,2372928,DOWN
2235,2255,2206.600098,2102.738525,2769940,UP
2244.899902,2257,2216.449951,2114.522217,1771746,UP
2252.199951,2258.800049,2232,2100.95459,1656881,DOWN
2234,2252,2230.100098,2105.649902,984140,UP
2247,2250,2140,2030.958618,4088470,DOWN
2149,2188.800049,2132.100098,2042.507202,2788062,UP
2174,2174.399902,2104.550049,2003.026123,3977224,DOWN
2080,2127.850098,2071.300049,1979.412109,6343581,DOWN
2128,2129,2086.050049,1974.107788,2400346,DOWN
2102.100098,2119.75,2093.100098,1978.848999,1560725,UP
2125,2153.600098,2098,2014.62146,2900415,UP
